0,1,2,3,4
EtieTr00,Travis Etienne,Clemson,Draft: Jacksonville Jaguars in the 1st round (25th overall) of the 2021 NFL Draft.,"<img src=""Travis Etienne.jpg""/>"
EvanAk00,Akayleb Evans,,,"<img src=""Akayleb Evans.jpg""/>"
EvanBo00,Bobby Evans,Oklahoma,Draft: Los Angeles Rams in the 3rd round (97th overall) of the 2019 NFL Draft.,"<img src=""Bobby Evans.jpg""/>"
EvanCh02,Chris Evans,Michigan,Draft: Cincinnati Bengals in the 6th round (202nd overall) of the 2021 NFL Draft.,"<img src=""Chris Evans.jpg""/>"
EvanDa02,Darrynton Evans,AppalachianSt.,,"<img src=""Darrynton Evans.jpg""/>"
EvanJu00,Justin Evans,"MississippiGulfCoastCC,",	,"<img src=""Justin Evans.jpg""/>"
EvanMi00,Mike Evans,TexasA&M,Draft: Tampa Bay Buccaneers in the 1st round (7th overall) of the 2014 NFL Draft.,"<img src=""Mike Evans.jpg""/>"
EvanRa01,Rashaan Evans,,Pronunciation: \ra-SHON\,"<img src=""Rashaan Evans.jpg""/>"
EverGe00,Gerald Everett,SouthAlabama,Draft: Los Angeles Rams in the 2nd round (44th overall) of the 2017 NFL Draft.,"<img src=""Gerald Everett.jpg""/>"
EzeuJo00,Joshua Ezeudu,,Pronunciation: \ee-ZOO-doo\,"<img src=""Joshua Ezeudu.jpg""/>"
EzukEr00,Erik Ezukanma,,Pronunciation: \ez-oo-KAH-muh\,"<img src=""Erik Ezukanma.jpg""/>"
FaalDa00,Daniel Faalele,Minnesota,Draft: Baltimore Ravens in the 4th round (110th overall) of the 2022 NFL Draft.,"<img src=""Daniel Faalele.jpg""/>"
FacyBr00,Brandon Facyson,VirginiaTech,,"<img src=""Brandon Facyson.jpg""/>"
FairKa01,Ka'imi Fairbairn,UCLA,Pronunciation: \kuh-EE-mee\,"<img src=""Ka'imi Fairbairn.jpg""/>"
FantGe00,George Fant,WesternKentucky,Pronunciation: \FANT\,"<img src=""George Fant.jpg""/>"
FantNo00,Noah Fant,Iowa,Draft: Denver Broncos in the 1st round (20th overall) of the 2019 NFL Draft.,"<img src=""Noah Fant.jpg""/>"
FarlCa00,Caleb Farley,VirginiaTech,Draft: Tennessee Titans in the 1st round (22nd overall) of the 2021 NFL Draft.,"<img src=""Caleb Farley.jpg""/>"
FarlMa00,Matthias Farley,,,"<img src=""Matthias Farley.jpg""/>"
FarnMa00,Matt Farniok,Nebraska,Draft: Dallas Cowboys in the 7th round (238th overall) of the 2021 NFL Draft.,"<img src=""Matt Farniok.jpg""/>"
FarrLu00,Luke Farrell,OhioSt.,Draft: Jacksonville Jaguars in the 5th round (145th overall) of the 2021 NFL Draft.,"<img src=""Luke Farrell.jpg""/>"
FarrNe00,Neil Farrell,LSU,Draft: Las Vegas Raiders in the 4th round (126th overall) of the 2022 NFL Draft.,"<img src=""Neil Farrell.jpg""/>"
FatuFo00,Folorunso Fatukasi,Connecticut,Draft: New York Jets in the 6th round (180th overall) of the 2018 NFL Draft.,"<img src=""Folorunso Fatukasi.jpg""/>"
FatuOl00,Olakunle Fatukasi,Rutgers,,"<img src=""Olakunle Fatukasi.jpg""/>"
FeenDa00,Dan Feeney,Indiana,Draft: Los Angeles Chargers in the 3rd round (71st overall) of the 2017 NFL Draft.,"<img src=""Dan Feeney.jpg""/>"
FehoBr01,Breiden Fehoko,LSU,"<img src=""Breiden Fehoko.jpg""/>",
FehoSi00,Simi Fehoko,Stanford,Draft: Dallas Cowboys in the 5th round (179th overall) of the 2021 NFL Draft.,"<img src=""Simi Fehoko.jpg""/>"
FeilMa00,Matt Feiler,Bloomsburg,"<img src=""Matt Feiler.jpg""/>",
FejeCl00,Clayton Fejedelem,,Pronunciation: \FEDGE-uh-lemm\,"<img src=""Clayton Fejedelem.jpg""/>"
FeliJo00,Jon Feliciano,Miami(FL),Draft: Oakland Raiders in the 4th round (128th overall) of the 2015 NFL Draft.,"<img src=""Jon Feliciano.jpg""/>"
FeltDe00,Demetric Felton,UCLA,Draft: Cleveland Browns in the 6th round (211th overall) of the 2021 NFL Draft.,"<img src=""Demetric Felton.jpg""/>"
FentRa00,Rashad Fenton,SouthCarolina,Draft: Kansas City Chiefs in the 6th round (201st overall) of the 2019 NFL Draft.,"<img src=""Rashad Fenton.jpg""/>"
FereJa00,James Ferentz,Iowa,"<img src=""James Ferentz.jpg""/>",
FergBl00,Blake Ferguson,LSU,Draft: Miami Dolphins in the 6th round (185th overall) of the 2020 NFL Draft.,"<img src=""Blake Ferguson.jpg""/>"
FergJa00,Jake Ferguson,,Twitter:,"<img src=""Jake Ferguson.jpg""/>"
FergRe00,Reid Ferguson,LSU,,"<img src=""Reid Ferguson.jpg""/>"
FernEt00,Ethan Fernea,,,"<img src=""Ethan Fernea.jpg""/>"
FerrCl00,Clelin Ferrell,Clemson,Draft: Oakland Raiders in the 1st round (4th overall) of the 2019 NFL Draft.,"<img src=""Clelin Ferrell.jpg""/>"
FielDa02,DaMarcus Fields,TexasTech,,"<img src=""DaMarcus Fields.jpg""/>"
FielJu00,Justin Fields,College:,  ,"<img src=""Justin Fields.jpg""/>"
FielTo00,Tony Fields,"Arizona,",	,"<img src=""Tony Fields.jpg""/>"
FirkAn00,Anthony Firkser,Harvard,"<img src=""Anthony Firkser.jpg""/>",
FitzDe00,Dez Fitzpatrick,,"More bio, uniform, draft, salary info","<img src=""Dez Fitzpatrick.jpg""/>"
FitzMi00,Minkah Fitzpatrick,Alabama,Draft: Miami Dolphins in the 1st round (11th overall) of the 2018 NFL Draft.,"<img src=""Minkah Fitzpatrick.jpg""/>"
FlacJo00,Joe Flacco,,		Audubon (NJ),"<img src=""Joe Flacco.jpg""/>"
FlanDe00,Demetrius Flannigan-Fowles,Arizona,,"<img src=""Demetrius Flannigan-Fowles.jpg""/>"
FlemCa00,Cameron Fleming,Stanford,Draft: New England Patriots in the 4th round (140th overall) of the 2014 NFL Draft.,"<img src=""Cameron Fleming.jpg""/>"
FlotCo00,Cordale Flott,,Twitter:,"<img src=""Cordale Flott.jpg""/>"
FlowDa00,Dallis Flowers,"GrandView,","<img src=""Dallis Flowers.jpg""/>",
FlowTr01,Tre Flowers,OklahomaSt.,Draft: Seattle Seahawks in the 5th round (146th overall) of the 2018 NFL Draft.,"<img src=""Tre Flowers.jpg""/>"
FlowTr00,Trey Flowers,Arkansas,Draft: New England Patriots in the 4th round (101st overall) of the 2015 NFL Draft.,"<img src=""Trey Flowers.jpg""/>"
FloyLe00,Leonard Floyd,Georgia,	,"<img src=""Leonard Floyd.jpg""/>"
FoleNi00,Nick Foles,,,"<img src=""Nick Foles.jpg""/>"
FolkNi20,Nick Folk,Arizona,Draft: Dallas Cowboys in the 6th round (178th overall) of the 2007 NFL Draft.,"<img src=""Nick Folk.jpg""/>"
ForbDr00,Drew Forbes,SEMissouriSt.,"<img src=""Drew Forbes.jpg""/>",
FordCo00,Cody Ford,Oklahoma,Draft: Buffalo Bills in the 2nd round (38th overall) of the 2019 NFL Draft.,"<img src=""Cody Ford.jpg""/>"
FordJe00,Jerome Ford,,,"<img src=""Jerome Ford.jpg""/>"
FordMi01,Mike Ford,SEMissouriSt.,"<img src=""Mike Ford.jpg""/>",
FordPo00,Poona Ford,Texas,,"<img src=""Poona Ford.jpg""/>"
FordRu00,Rudy Ford,Auburn,Draft: Arizona Cardinals in the 6th round (208th overall) of the 2017 NFL Draft.,"<img src=""Rudy Ford.jpg""/>"
ForeDO00,D'Onta Foreman,Texas,Draft: Houston Texans in the 3rd round (89th overall) of the 2017 NFL Draft.,"<img src=""D'Onta Foreman.jpg""/>"
ForrDa00,Darrick Forrest,,"More bio, uniform, draft, salary info","<img src=""Darrick Forrest.jpg""/>"
ForrMi00,Miller Forristall,,,"<img src=""Miller Forristall.jpg""/>"
ForsSt00,Stone Forsythe,Florida,Draft: Seattle Seahawks in the 6th round (208th overall) of the 2021 NFL Draft.,"<img src=""Stone Forsythe.jpg""/>"
FortLu01,Luke Fortner,Kentucky,Draft: Jacksonville Jaguars in the 3rd round (65th overall) of the 2022 NFL Draft.,"<img src=""Luke Fortner.jpg""/>"
FortJo01,Jody Fortson,ValdostaSt.,"<img src=""Jody Fortson.jpg""/>",
FotuLe00,Leki Fotu,Utah,Draft: Arizona Cardinals in the 4th round (114th overall) of the 2020 NFL Draft.,"<img src=""Leki Fotu.jpg""/>"
FourLe00,Leonard Fournette,,,"<img src=""Leonard Fournette.jpg""/>"
FowlDa00,Dante Fowler,Florida,Draft: Jacksonville Jaguars in the 1st round (3rd overall) of the 2015 NFL Draft.,"<img src=""Dante Fowler.jpg""/>"
FoxxJa01,Jack Fox,College:,	,"<img src=""Jack Fox.jpg""/>"
FoxxMo00,Morgan Fox,ColoradoState-Pueblo,"<img src=""Morgan Fox.jpg""/>",
FoxxTo00,Tomon Fox,NorthCarolina,Pronunciation: \tuh-MAHN\,"<img src=""Tomon Fox.jpg""/>"
FrabMi00,Mitchell Fraboni,ArizonaSt.,Pronunciation: \fruh-BONE-ee\,"<img src=""Mitchell Fraboni.jpg""/>"
FranJa03,Jacobi Francis,Memphis,,"<img src=""Jacobi Francis.jpg""/>"
FranSa00,Sam Franklin,Temple,,"<img src=""Sam Franklin.jpg""/>"
FranZa00,Zaire Franklin,Syracuse,Draft: Indianapolis Colts in the 7th round (235th overall) of the 2018 NFL Draft.,"<img src=""Zaire Franklin.jpg""/>"
FranJo02,John Franklin-Myers,S.F.Austin,"<img src=""John Franklin-Myers.jpg""/>",
FranFe00,Feleipe Franks,College:,  ,"<img src=""Feleipe Franks.jpg""/>"
FreeRo00,Royce Freeman,Oregon,Draft: Denver Broncos in the 3rd round (71st overall) of the 2018 NFL Draft.,"<img src=""Royce Freeman.jpg""/>"
FreiPa00,Pat Freiermuth,PennSt.,Draft: Pittsburgh Steelers in the 2nd round (55th overall) of the 2021 NFL Draft.,"<img src=""Pat Freiermuth.jpg""/>"
FrieWi00,Will Fries,,"More bio, uniform, draft, salary info","<img src=""Will Fries.jpg""/>"
FrohHj00,Hjalte Froholdt,Arkansas,Draft: New England Patriots in the 4th round (118th overall) of the 2019 NFL Draft.,"<img src=""Hjalte Froholdt.jpg""/>"
FullJo01,Jordan Fuller,OhioSt.,Draft: Los Angeles Rams in the 6th round (199th overall) of the 2020 NFL Draft.,"<img src=""Jordan Fuller.jpg""/>"
FullKe00,Kendall Fuller,VirginiaTech,Draft: Washington Redskins in the 3rd round (84th overall) of the 2016 NFL Draft.,"<img src=""Kendall Fuller.jpg""/>"
FullKy00,Kyle Fuller,,Twitter:,"<img src=""Kyle Fuller.jpg""/>"
FullKy01,Kyle Fuller,Baylor,Draft: Houston Texans in the 7th round (243rd overall) of the 2017 NFL Draft.,"<img src=""Kyle Fuller.jpg""/>"
FultKr00,Kristian Fulton,LSU,Draft: Tennessee Titans in the 2nd round (61st overall) of the 2020 NFL Draft.,"<img src=""Kristian Fulton.jpg""/>"
FunkJa00,Jake Funk,Maryland,Draft: Los Angeles Rams in the 7th round (233rd overall) of the 2021 NFL Draft.,"<img src=""Jake Funk.jpg""/>"
GabbBl00,Blaine Gabbert,College:,	,"<img src=""Blaine Gabbert.jpg""/>"
GageRu00,Russell Gage,College:,	,"<img src=""Russell Gage.jpg""/>"
GainGr00,Greg Gaines,Washington,Draft: Los Angeles Rams in the 4th round (134th overall) of the 2019 NFL Draft.,"<img src=""Greg Gaines.jpg""/>"
GainIn00,Innis Gaines,,"<img src=""Innis Gaines.jpg""/>",
GainKe00,Kenneth Gainwell,Memphis,Draft: Philadelphia Eagles in the 5th round (150th overall) of the 2021 NFL Draft.,"<img src=""Kenneth Gainwell.jpg""/>"
GaleTi01,Tipa Galeai,,,"<img src=""Tipa Galeai.jpg""/>"
GallNe00,Neville Gallimore,Oklahoma,Draft: Dallas Cowboys in the 3rd round (82nd overall) of the 2020 NFL Draft.,"<img src=""Neville Gallimore.jpg""/>"
GallMi00,Michael Gallup,ColoradoSt.,Draft: Dallas Cowboys in the 3rd round (81st overall) of the 2018 NFL Draft.,"<img src=""Michael Gallup.jpg""/>"
GanoGr44,Graham Gano,FloridaSt.,Pronunciation: \guh-KNOW\,"<img src=""Graham Gano.jpg""/>"
GarcEl00,Elijah Garcia,Rice,,"<img src=""Elijah Garcia.jpg""/>"
GarcMa00,Max Garcia,Florida,Draft: Denver Broncos in the 4th round (133rd overall) of the 2015 NFL Draft.,"<img src=""Max Garcia.jpg""/>"
GardDe01,Dennis Gardeck,SiouxFalls,"<img src=""Dennis Gardeck.jpg""/>",
GardDo00,,WeightedCareerAV(100-95-...):0(17337thoverallsince1960),"<img src="".jpg""/>",
GardSa00,Sauce Gardner,Cincinnati,Draft: New York Jets in the 1st round (4th overall) of the 2022 NFL Draft.,"<img src=""Sauce Gardner.jpg""/>"
GardCh00,C.J. Gardner-Johnson,Florida,Draft: New Orleans Saints in the 4th round (105th overall) of the 2019 NFL Draft.,"<img src=""C.J. Gardner-Johnson.jpg""/>"
GaroJi00,Jimmy Garoppolo,College:,,"<img src=""Jimmy Garoppolo.jpg""/>"
GarrMy00,Myles Garrett,TexasA&M,Draft: Cleveland Browns in the 1st round (1st overall) of the 2017 NFL Draft.,"<img src=""Myles Garrett.jpg""/>"
GarvJo00,Jonathan Garvin,,,"<img src=""Jonathan Garvin.jpg""/>"
GaryRa00,Rashan Gary,Michigan,	,"<img src=""Rashan Gary.jpg""/>"
GaskMy00,Myles Gaskin,Washington,Draft: Miami Dolphins in the 7th round (234th overall) of the 2019 NFL Draft.,"<img src=""Myles Gaskin.jpg""/>"
GateDe00,DeMarquis Gates,Mississippi,,"<img src=""DeMarquis Gates.jpg""/>"
GateNi00,Nick Gates,Nebraska,,"<img src=""Nick Gates.jpg""/>"
GayxMa00,Matt Gay,Utah,Draft: Tampa Bay Buccaneers in the 5th round (145th overall) of the 2019 NFL Draft.,"<img src=""Matt Gay.jpg""/>"
GayJWi00,Willie Gay Jr.,MississippiSt.,Draft: Kansas City Chiefs in the 2nd round (63rd overall) of the 2020 NFL Draft.,"<img src=""Willie Gay Jr..jpg""/>"
GaziJo01,Joe Gaziano,Northwestern,,"<img src=""Joe Gaziano.jpg""/>"
GeigKa00,Kaylon Geiger,"Navarro,",  ,"<img src=""Kaylon Geiger.jpg""/>"
GentTa00,Tanner Gentry,,"More bio, uniform, draft, salary info","<img src=""Tanner Gentry.jpg""/>"
GentZa00,Zach Gentry,Michigan,Draft: Pittsburgh Steelers in the 5th round (141st overall) of the 2019 NFL Draft.,"<img src=""Zach Gentry.jpg""/>"
GeorAl00,Allan George,Vanderbilt,,"<img src=""Allan George.jpg""/>"
GerrNa00,Nathan Gerry,,,"<img src=""Nathan Gerry.jpg""/>"
GervJa00,Jake Gervase,Iowa,,"<img src=""Jake Gervase.jpg""/>"
GesiMi00,Mike Gesicki,College:,	,"<img src=""Mike Gesicki.jpg""/>"
GholWi00,William Gholston,MichiganSt.,Draft: Tampa Bay Buccaneers in the 4th round (126th overall) of the 2013 NFL Draft.,"<img src=""William Gholston.jpg""/>"
GibbJa00,Jack Gibbens,"AbileneChristian,",	,"<img src=""Jack Gibbens.jpg""/>"
GibsAn00,Antonio Gibson,Memphis,Draft: Washington Football Team in the 3rd round (66th overall) of the 2020 NFL Draft.,"<img src=""Antonio Gibson.jpg""/>"
GiffLu00,Luke Gifford,Nebraska,,"<img src=""Luke Gifford.jpg""/>"
GilbUl00,Ulysees Gilbert,Akron,Draft: Pittsburgh Steelers in the 6th round (207th overall) of the 2019 NFL Draft.,"<img src=""Ulysees Gilbert.jpg""/>"
GilbZy00,Zyon Gilbert,FloridaAtlantic,,"<img src=""Zyon Gilbert.jpg""/>"
GileJo01,Joe Giles-Harris,Duke,,"<img src=""Joe Giles-Harris.jpg""/>"
GillTr01,Trenton Gill,,Twitter:,"<img src=""Trenton Gill.jpg""/>"
GillJa00,Jamie Gillan,Ark-PineBluff,"<img src=""Jamie Gillan.jpg""/>",
GillCu00,Cullen Gillaspia,,,"<img src=""Cullen Gillaspia.jpg""/>"
GillTy00,Tyree Gillespie,Missouri,Draft: Las Vegas Raiders in the 4th round (143rd overall) of the 2021 NFL Draft.,"<img src=""Tyree Gillespie.jpg""/>"
GillRe00,Reggie Gilliam,Toledo,,"<img src=""Reggie Gilliam.jpg""/>"
GillBl00,Blake Gillikin,College:,	,"<img src=""Blake Gillikin.jpg""/>"
GilmAl00,Alohi Gilman,"Navy,",	,"<img src=""Alohi Gilman.jpg""/>"
GilmSt00,Stephon Gilmore,SouthCarolina,Draft: Buffalo Bills in the 1st round (10th overall) of the 2012 NFL Draft.,"<img src=""Stephon Gilmore.jpg""/>"
GipsTa00,Tashaun Gipson,Wyoming,Pronunciation: \tuh-SHAWN\,"<img src=""Tashaun Gipson.jpg""/>"
GipsTr00,Trevis Gipson,Tulsa,Draft: Chicago Bears in the 5th round (155th overall) of the 2020 NFL Draft.,"<img src=""Trevis Gipson.jpg""/>"
GiveKe01,Kevin Givens,PennSt.,,"<img src=""Kevin Givens.jpg""/>"
GlasGr00,Graham Glasgow,Michigan,Draft: Detroit Lions in the 3rd round (95th overall) of the 2016 NFL Draft.,"<img src=""Graham Glasgow.jpg""/>"
GlowMa00,Mark Glowinski,"Lackawanna,",	,"<img src=""Mark Glowinski.jpg""/>"
GodcDa00,Davon Godchaux,LSU,Draft: Miami Dolphins in the 5th round (178th overall) of the 2017 NFL Draft.,"<img src=""Davon Godchaux.jpg""/>"
GodwCh00,Chris Godwin,PennSt.,Draft: Tampa Bay Buccaneers in the 3rd round (84th overall) of the 2017 NFL Draft.,"<img src=""Chris Godwin.jpg""/>"
GoedLu00,Luke Goedeke,,,"<img src=""Luke Goedeke.jpg""/>"
GoedDa00,Dallas Goedert,SouthDakotaSt.,"<img src=""Dallas Goedert.jpg""/>",
GoffJa00,Jared Goff,College:,	,"<img src=""Jared Goff.jpg""/>"
GoldMa00,Markus Golden,Missouri,Draft: Arizona Cardinals in the 2nd round (58th overall) of the 2015 NFL Draft.,"<img src=""Markus Golden.jpg""/>"
GollKe00,Kenny Golladay,,,"<img src=""Kenny Golladay.jpg""/>"
GolsCh00,Chauncey Golston,Iowa,Draft: Dallas Cowboys in the 3rd round (84th overall) of the 2021 NFL Draft.,"<img src=""Chauncey Golston.jpg""/>"
GoodC,C.J. Goodwin,California(PA),"<img src=""C.J. Goodwin.jpg""/>",
GoodMa00,Marquise Goodwin,Texas,Draft: Buffalo Bills in the 3rd round (78th overall) of the 2013 NFL Draft.,"<img src=""Marquise Goodwin.jpg""/>"
GordJo02,Josh Gordon,,		Lamar (TX),"<img src=""Josh Gordon.jpg""/>"
GordKy00,Kyler Gordon,,Twitter:,"<img src=""Kyler Gordon.jpg""/>"
GordMe00,Melvin Gordon,Wisconsin,Draft: San Diego Chargers in the 1st round (15th overall) of the 2015 NFL Draft.,"<img src=""Melvin Gordon.jpg""/>"
GossCo00,Colby Gossett,AppalachianSt.,Draft: Minnesota Vikings in the 6th round (213th overall) of the 2018 NFL Draft.,"<img src=""Colby Gossett.jpg""/>"
GotsAd00,Adam Gotsis,GeorgiaTech,Draft: Denver Broncos in the 2nd round (63rd overall) of the 2016 NFL Draft.,"<img src=""Adam Gotsis.jpg""/>"
gouldrob01,Robbie Gould,,,"<img src=""Robbie Gould.jpg""/>"
GowaTa00,Tay Gowan,CentralFlorida,Draft: Arizona Cardinals in the 6th round (223rd overall) of the 2021 NFL Draft.,"<img src=""Tay Gowan.jpg""/>"
GrahBr99,Brandon Graham,Michigan,Draft: Philadelphia Eagles in the 1st round (13th overall) of the 2010 NFL Draft.,"<img src=""Brandon Graham.jpg""/>"
GrahTa00,Ta'Quon Graham,Texas,Draft: Atlanta Falcons in the 5th round (148th overall) of the 2021 NFL Draft.,"<img src=""Ta'Quon Graham.jpg""/>"
GrahTh00,Thomas Graham,,Draft: Chicago Bears in the 6th round (228th overall) of the 2021 NFL Draft.,"<img src=""Thomas Graham.jpg""/>"
GranCa01,Carl Granderson,Wyoming,,"<img src=""Carl Granderson.jpg""/>"
GranKy00,Kylen Granson,"Rice,",	,"<img src=""Kylen Granson.jpg""/>"
GranRi00,Richie Grant,CentralFlorida,Draft: Atlanta Falcons in the 2nd round (40th overall) of the 2021 NFL Draft.,"<img src=""Richie Grant.jpg""/>"
GrasHr00,Hroniss Grasu,Oregon,Draft: Chicago Bears in the 3rd round (71st overall) of the 2015 NFL Draft.,"<img src=""Hroniss Grasu.jpg""/>"
GrayDa02,Danny Gray,"BlinnCollege(TX),",	,"<img src=""Danny Gray.jpg""/>"
GrayJ,J.T. Gray,MississippiSt.,,"<img src=""J.T. Gray.jpg""/>"
GrayNo00,Noah Gray,Duke,Draft: Kansas City Chiefs in the 5th round (162nd overall) of the 2021 NFL Draft.,"<img src=""Noah Gray.jpg""/>"
GreeA,A.J. Green,,Twitter:,"<img src=""A.J. Green.jpg""/>"
GreeAJ00,A.J. Green,OklahomaSt.,,"<img src=""A.J. Green.jpg""/>"
GreeGe00,Gerri Green,,"More bio, uniform, draft, salary info","<img src=""Gerri Green.jpg""/>"
GreeKe03,Kenyon Green,,Twitter:,"<img src=""Kenyon Green.jpg""/>"
GreeRa01,Rasheem Green,USC,Draft: Seattle Seahawks in the 3rd round (79th overall) of the 2018 NFL Draft.,"<img src=""Rasheem Green.jpg""/>"
GreeJo04,Jonathan Greenard,"Louisville,",	,"<img src=""Jonathan Greenard.jpg""/>"
GreeDr00,Dre Greenlaw,Arkansas,Draft: San Francisco 49ers in the 5th round (148th overall) of the 2019 NFL Draft.,"<img src=""Dre Greenlaw.jpg""/>"
GregRa00,Randy Gregory,"ArizonaWestern,",	,"<img src=""Randy Gregory.jpg""/>"
GrifGa00,Garrett Griffin,,"More bio, uniform, draft, salary info","<img src=""Garrett Griffin.jpg""/>"
GrifRy00,Ryan Griffin,,,"<img src=""Ryan Griffin.jpg""/>"
GrifSh00,Shaquill Griffin,CentralFlorida,Draft: Seattle Seahawks in the 3rd round (90th overall) of the 2017 NFL Draft.,"<img src=""Shaquill Griffin.jpg""/>"
GrifJo01,Jonas Griffith,IndianaSt.,"<img src=""Jonas Griffith.jpg""/>",
GrosYe00,Yetur Gross-Matos,PennSt.,Draft: Carolina Panthers in the 2nd round (38th overall) of the 2020 NFL Draft.,"<img src=""Yetur Gross-Matos.jpg""/>"
GrugKa00,Kamu Grugier-Hill,East.Illinois,"<img src=""Kamu Grugier-Hill.jpg""/>",
GuidJa01,Javelin Guidry,Utah,,"<img src=""Javelin Guidry.jpg""/>"
GuntJe01,Jeff Gunter,"NorthCarolinaSt.,",	,"<img src=""Jeff Gunter.jpg""/>"
GutiSe00,Sebastian Gutierrez,MinotSt.,"<img src=""Sebastian Gutierrez.jpg""/>",
GuyxLa00,Lawrence Guy,ArizonaSt.,Draft: Green Bay Packers in the 7th round (233rd overall) of the 2011 NFL Draft.,"<img src=""Lawrence Guy.jpg""/>"
GuytJa01,Jalen Guyton,NorthTexas,,"<img src=""Jalen Guyton.jpg""/>"
HaacMa00,Matt Haack,,,"<img src=""Matt Haack.jpg""/>"
HaegJo00,Joe Haeg,WeightedCareerAV(100-95-...):22(5060thoverallsince1960),"<img src=""Joe Haeg.jpg""/>",
HainRo00,Robert Hainsey,,"More bio, uniform, draft, salary info","<img src=""Robert Hainsey.jpg""/>"
HairNa00,Nate Hairston,Temple,Draft: Indianapolis Colts in the 5th round (158th overall) of the 2017 NFL Draft.,"<img src=""Nate Hairston.jpg""/>"
HairTr00,Troy Hairston,CentralMichigan,,"<img src=""Troy Hairston.jpg""/>"
HaleGr00,Grant Haley,,"More bio, uniform, draft, salary info","<img src=""Grant Haley.jpg""/>"
HallBr03,Breece Hall,,Twitter:,"<img src=""Breece Hall.jpg""/>"
HallBr02,Bryce Hall,Virginia,Draft: New York Jets in the 5th round (158th overall) of the 2020 NFL Draft.,"<img src=""Bryce Hall.jpg""/>"
HallDa03,Darren Hall,SanDiegoSt.,Draft: Atlanta Falcons in the 4th round (108th overall) of the 2021 NFL Draft.,"<img src=""Darren Hall.jpg""/>"
HallKe01,Kemon Hall,NorthTexas,"<img src=""Kemon Hall.jpg""/>",
HallLo00,Logan Hall,,Twitter:,"<img src=""Logan Hall.jpg""/>"
HallTy01,Tyler Hall,Wyoming,,"<img src=""Tyler Hall.jpg""/>"
HamxC,C.J. Ham,Augustana(SD),"<img src=""C.J. Ham.jpg""/>",
HamiAn01,Antonio Hamilton,SouthCarolinaSt.,"<img src=""Antonio Hamilton.jpg""/>",
HamiDa02,DaVon Hamilton,OhioSt.,Draft: Jacksonville Jaguars in the 3rd round (73rd overall) of the 2020 NFL Draft.,"<img src=""DaVon Hamilton.jpg""/>"
HamiDe00,Devery Hamilton,"Stanford,",	,"<img src=""Devery Hamilton.jpg""/>"
HamiKy00,Kyle Hamilton,,Twitter:,"<img src=""Kyle Hamilton.jpg""/>"
HamiLa01,Ladarius Hamilton,,,"<img src=""Ladarius Hamilton.jpg""/>"
HamlKJ00,KJ Hamler,,,"<img src=""KJ Hamler.jpg""/>"
HamlDa00,Damar Hamlin,Pittsburgh,Draft: Buffalo Bills in the 6th round (212th overall) of the 2021 NFL Draft.,"<img src=""Damar Hamlin.jpg""/>"
HancBl00,Blake Hance,Northwestern,"<img src=""Blake Hance.jpg""/>",
HandDa00,Da'Shawn Hand,Alabama,Draft: Detroit Lions in the 4th round (114th overall) of the 2018 NFL Draft.,"<img src=""Da'Shawn Hand.jpg""/>"
HandHa00,Harrison Hand,,,"<img src=""Harrison Hand.jpg""/>"
HankJo00,Johnathan Hankins,OhioSt.,Draft: New York Giants in the 2nd round (49th overall) of the 2013 NFL Draft.,"<img src=""Johnathan Hankins.jpg""/>"
HansCh02,Chase Hansen,,,"<img src=""Chase Hansen.jpg""/>"
HansJa01,Jake Hansen,Illinois,,"<img src=""Jake Hansen.jpg""/>"
HansJa00,Jake Hanson,(CollegeStats),,"<img src=""Jake Hanson.jpg""/>"
HardJu01,Justin Hardee,Illinois,,"<img src=""Justin Hardee.jpg""/>"
HardMe00,Mecole Hardman,Georgia,Draft: Kansas City Chiefs in the 2nd round (56th overall) of the 2019 NFL Draft.,"<img src=""Mecole Hardman.jpg""/>"
HardDa01,Daniel Hardy,HighSchool:,,"<img src=""Daniel Hardy.jpg""/>"
HargJa00,Javon Hargrave,SouthCarolinaSt.,"<img src=""Javon Hargrave.jpg""/>",
HarlSe00,Sean Harlow,OregonSt.,Draft: Atlanta Falcons in the 4th round (136th overall) of the 2017 NFL Draft.,"<img src=""Sean Harlow.jpg""/>"
HarmDu00,Duron Harmon,,,"<img src=""Duron Harmon.jpg""/>"
HarpDe00,Devin Harper,OklahomaSt.,Draft: Dallas Cowboys in the 6th round (193rd overall) of the 2022 NFL Draft.,"<img src=""Devin Harper.jpg""/>"
HarrAn01,Anthony Harris,,"More bio, uniform, draft, salary info","<img src=""Anthony Harris.jpg""/>"
HarrCh03,Charles Harris,Missouri,Draft: Miami Dolphins in the 1st round (22nd overall) of the 2017 NFL Draft.,"<img src=""Charles Harris.jpg""/>"
HarrCh01,Chris Harris Jr.,,@ChrisHarrisJr,"<img src=""Chris Harris Jr..jpg""/>"
HarrCh06,Christian Harris,Alabama,Draft: Houston Texans in the 3rd round (75th overall) of the 2022 NFL Draft.,"<img src=""Christian Harris.jpg""/>"
HarrCl20,Clark Harris,,Twitter:,"<img src=""Clark Harris.jpg""/>"
HarrDa06,Damien Harris,Alabama,Draft: New England Patriots in the 3rd round (87th overall) of the 2019 NFL Draft.,"<img src=""Damien Harris.jpg""/>"
HarrDa07,Darius Harris,,"More bio, uniform, draft, salary info","<img src=""Darius Harris.jpg""/>"
HarrDa05,Davontae Harris,WeightedCareerAV(100-95-...):5(10767thoverallsince1960),"<img src=""Davontae Harris.jpg""/>",
